x,y,angle,distance
13.692,13.1686,0.7234,19.0
13.7669,13.2348,0.7227,19.1
13.8419,13.3009,0.7219,19.2
13.917,13.367,0.7212,19.3
13.9921,13.4331,0.7204,19.4
14.0673,13.499,0.7196,19.5
14.1425,13.5649,0.7189,19.6
14.2177,13.6308,0.7181,19.7
14.293,13.6966,0.7173,19.8
14.3684,13.7623,0.7165,19.9
14.4438,13.828,0.7157,20.0
14.5193,13.8936,0.7149,20.1
14.5948,13.9592,0.7141,20.2
14.6703,14.0247,0.7133,20.3
14.746,14.0901,0.7124,20.4
14.8216,14.1555,0.7116,20.5
14.8974,14.2208,0.7108,20.6
14.9732,14.286,0.7099,20.7
15.049,14.3512,0.7091,20.8
15.1249,14.4163,0.7082,20.9
15.2008,14.4813,0.7073,21.0
15.2769,14.5463,0.7064,21.1
15.3529,14.6112,0.7056,21.2
15.429,14.6761,0.7047,21.3
15.5052,14.7409,0.7038,21.4
15.5815,14.8056,0.7029,21.5
15.6578,14.8702,0.702,21.6
15.7341,14.9348,0.7011,21.7
15.8105,14.9993,0.7001,21.8
15.887,15.0637,0.6992,21.9
15.9636,15.1281,0.6982,22.0
16.0402,15.1924,0.6973,22.1
16.1168,15.2566,0.6963,22.2
16.1935,15.3207,0.6954,22.3
16.2703,15.3848,0.6944,22.4
16.3472,15.4488,0.6934,22.5
16.4241,15.5127,0.6924,22.6
16.501,15.5765,0.6914,22.7
16.5781,15.6403,0.6904,22.8
16.6552,15.704,0.6894,22.9
16.7323,15.7676,0.6884,23.0
16.8096,15.8311,0.6874,23.1
16.8868,15.8946,0.6863,23.2
16.9642,15.9579,0.6853,23.3
17.0416,16.0212,0.6842,23.4
17.1191,16.0844,0.6832,23.5
17.1967,16.1476,0.6821,23.6
17.2743,16.2106,0.681,23.7
17.352,16.2736,0.6799,23.8
17.4298,16.3364,0.6788,23.9
17.5076,16.3992,0.6777,24.0
17.5855,16.4619,0.6766,24.1
17.6635,16.5245,0.6755,24.2
17.7415,16.5871,0.6743,24.3
17.8196,16.6495,0.6732,24.4
17.8978,16.7119,0.672,24.5
17.9761,16.7741,0.6709,24.6
18.0544,16.8363,0.6697,24.7
18.1328,16.8984,0.6685,24.8
18.2113,16.9603,0.6673,24.9
18.2898,17.0222,0.6661,25.0
18.3684,17.084,0.6649,25.1
18.4471,17.1457,0.6637,25.2
18.5259,17.2073,0.6624,25.3
18.6047,17.2688,0.6612,25.4
18.6837,17.3302,0.66,25.5
18.7627,17.3915,0.6587,25.6
18.8418,17.4527,0.6574,25.7
18.9209,17.5139,0.6561,25.8
19.0002,17.5749,0.6548,25.9
19.0795,17.6358,0.6535,26.0
19.1589,17.6966,0.6522,26.1
19.2383,17.7572,0.6509,26.2
19.3179,17.8178,0.6495,26.3
19.3975,17.8783,0.6482,26.4
19.4772,17.9387,0.6468,26.5
19.5571,17.999,0.6454,26.6
19.6369,18.0591,0.6441,26.7
19.7169,18.1192,0.6426,26.8
19.797,18.1791,0.6412,26.9
19.8771,18.2389,0.6398,27.0
19.9573,18.2986,0.6384,27.1
20.0376,18.3582,0.6369,27.2
20.118,18.4177,0.6354,27.3
20.1985,18.477,0.634,27.4
20.2791,18.5363,0.6325,27.5
20.3597,18.5954,0.631,27.6
20.4405,18.6544,0.6295,27.7
20.5213,18.7132,0.628,27.8
20.6022,18.772,0.6264,27.9
20.6832,18.8306,0.6249,28.0
20.7643,18.8891,0.6233,28.1
20.8455,18.9475,0.6217,28.2
20.9268,19.0057,0.6201,28.3
21.0082,19.0638,0.6185,28.4
21.0897,19.1218,0.6169,28.5
21.1712,19.1797,0.6153,28.6
21.2529,19.2374,0.6136,28.7
21.3347,19.295,0.612,28.8
21.4165,19.3524,0.6103,28.9
21.4985,19.4097,0.6086,29.0
21.5805,19.4669,0.6069,29.1
21.6626,19.5239,0.6052,29.2
21.7449,19.5808,0.6034,29.3
21.8272,19.6376,0.6016,29.4
21.9097,19.6942,0.5999,29.5
21.9922,19.7506,0.5981,29.6
22.0748,19.8069,0.5963,29.7
22.1576,19.8631,0.5945,29.8
22.2404,19.9191,0.5926,29.9
22.3234,19.975,0.5908,30.0
22.4064,20.0307,0.5889,30.1
22.4896,20.0862,0.587,30.2
22.5728,20.1416,0.5851,30.3
22.6562,20.1968,0.5832,30.4
22.7397,20.2519,0.5813,30.5
22.8233,20.3068,0.5793,30.6
22.9069,20.3615,0.5773,30.7
22.9907,20.4161,0.5753,30.8
23.0746,20.4705,0.5733,30.9
23.1587,20.5248,0.5713,31.0
23.2428,20.5788,0.5692,31.1
23.327,20.6327,0.5672,31.2
23.4113,20.6865,0.5651,31.3
23.4958,20.74,0.563,31.4
23.5804,20.7934,0.5608,31.5
23.6651,20.8466,0.5587,31.6
23.7498,20.8996,0.5565,31.7
23.8348,20.9524,0.5543,31.8
23.9198,21.005,0.5521,31.9
24.0049,21.0575,0.5499,32.0
24.0902,21.1097,0.5476,32.1
24.1756,21.1618,0.5453,32.2
24.2611,21.2137,0.543,32.3
24.3467,21.2653,0.5407,32.4
24.4324,21.3168,0.5384,32.5
24.5183,21.3681,0.536,32.6
24.6042,21.4192,0.5336,32.7
24.6903,21.47,0.5312,32.8
24.7766,21.5207,0.5287,32.9
24.8629,21.5711,0.5263,33.0
24.9494,21.6214,0.5238,33.1
25.036,21.6714,0.5213,33.2
25.1227,21.7212,0.5188,33.3
25.2095,21.7708,0.5162,33.4
25.2965,21.8201,0.5136,33.5
25.3836,21.8692,0.511,33.6
25.4708,21.9181,0.5084,33.7
25.5582,21.9668,0.5057,33.8
25.6457,22.0153,0.503,33.9
25.7333,22.0635,0.5003,34.0
25.821,22.1114,0.4976,34.1
25.9089,22.1592,0.4948,34.2
25.9969,22.2067,0.4919,34.3
26.085,22.2539,0.4891,34.4
26.1733,22.3009,0.4863,34.5
26.2617,22.3476,0.4834,34.6
26.3503,22.3941,0.4805,34.7
26.4389,22.4403,0.4775,34.8
26.5278,22.4863,0.4745,34.9
26.6167,22.532,0.4715,35.0
26.7058,22.5774,0.4685,35.1
26.795,22.6225,0.4654,35.2
26.8844,22.6674,0.4623,35.3
26.9739,22.712,0.4591,35.4
27.0635,22.7563,0.456,35.5
27.1533,22.8004,0.4528,35.6
27.2432,22.8441,0.4495,35.7
27.3333,22.8876,0.4463,35.8
27.4235,22.9307,0.4429,35.9
27.5139,22.9736,0.4396,36.0
27.6043,23.0161,0.4362,36.1
27.695,23.0584,0.4328,36.2
27.7858,23.1003,0.4293,36.3
27.8767,23.1419,0.4258,36.4
27.9678,23.1833,0.4223,36.5
28.059,23.2242,0.4187,36.6
28.1503,23.2649,0.4151,36.7
28.2418,23.3052,0.4115,36.8
28.3335,23.3452,0.4078,36.9
28.4253,23.3849,0.4041,37.0
28.5172,23.4242,0.4003,37.1
28.6093,23.4632,0.3965,37.2
28.7016,23.5018,0.3926,37.3
28.794,23.5401,0.3888,37.4
28.8865,23.578,0.3848,37.5
28.9792,23.6155,0.3808,37.6
29.072,23.6527,0.3768,37.7
29.165,23.6895,0.3727,37.8
29.2581,23.7259,0.3686,37.9
29.3514,23.7619,0.3645,38.0
29.4449,23.7976,0.3602,38.1
29.5384,23.8328,0.356,38.2
29.6322,23.8677,0.3517,38.3
29.726,23.9021,0.3474,38.4
29.8201,23.9362,0.3429,38.5
29.9142,23.9698,0.3385,38.6
30.0086,24.003,0.334,38.7
30.103,24.0358,0.3295,38.8
30.1977,24.0681,0.3248,38.9
30.2924,24.1,0.3202,39.0
30.3874,24.1315,0.3155,39.1
30.4824,24.1626,0.3108,39.2
30.5776,24.1931,0.306,39.3
30.673,24.2233,0.3011,39.4
30.7685,24.2529,0.2961,39.5
30.8641,24.2821,0.2912,39.6
30.9599,24.3108,0.2861,39.7
31.0559,24.339,0.2811,39.8
31.1519,24.3668,0.2759,39.9
31.2482,24.394,0.2707,40.0
31.3445,24.4207,0.2654,40.1
31.441,24.447,0.2601,40.2
31.5376,24.4727,0.2547,40.3
31.6344,24.4979,0.2493,40.4
31.7313,24.5226,0.2438,40.5
31.8284,24.5467,0.2382,40.6
31.9255,24.5703,0.2326,40.7
32.0228,24.5934,0.2269,40.8
32.1203,24.6159,0.2211,40.9
32.2178,24.6378,0.2153,41.0
32.3155,24.6592,0.2095,41.1
32.4134,24.6799,0.2035,41.2
32.5113,24.7002,0.1975,41.3
32.6093,24.7198,0.1914,41.4
32.7075,24.7388,0.1853,41.5
32.8058,24.7572,0.1791,41.6
32.9042,24.775,0.1728,41.7
33.0027,24.7922,0.1664,41.8
33.1013,24.8088,0.16,41.9
33.2001,24.8247,0.1535,42.0
33.2989,24.84,0.147,42.1
33.3978,24.8547,0.1403,42.2
33.4968,24.8687,0.1337,42.3
33.5959,24.882,0.1269,42.4
33.6951,24.8946,0.1201,42.5
33.7944,24.9066,0.1131,42.6
33.8938,24.9179,0.1062,42.7
33.9932,24.9285,0.0992,42.8
34.0927,24.9384,0.092,42.9
34.1923,24.9476,0.0849,43.0
34.2919,24.9561,0.0776,43.1
34.3916,24.9638,0.0702,43.2
34.4914,24.9708,0.0629,43.3
34.5912,24.9771,0.0554,43.4
34.691,24.9827,0.0479,43.5
34.7909,24.9875,0.0403,43.6
34.8908,24.9915,0.0325,43.7
34.9908,24.9947,0.0249,43.8
35.0907,24.9972,0.017,43.9
35.1907,24.9989,0.0092,44.0
35.2907,24.9998,0.0011,44.1
35.3907,24.9999,-0.0068,44.2
35.4907,24.9993,-0.015,44.3
35.5907,24.9978,-0.0231,44.4
35.6907,24.9955,-0.0314,44.5
35.7906,24.9923,-0.0396,44.6
35.8906,24.9884,-0.048,44.7
35.9904,24.9836,-0.0564,44.8
36.0903,24.9779,-0.0648,44.9
36.1901,24.9714,-0.0734,45.0
36.2898,24.9641,-0.082,45.1
36.3895,24.9559,-0.0907,45.2
36.4891,24.9469,-0.0994,45.3
36.5886,24.9369,-0.1081,45.4
36.688,24.9262,-0.117,45.5
36.7873,24.9145,-0.1259,45.6
36.8865,24.9019,-0.1348,45.7
36.9856,24.8885,-0.1438,45.8
37.0846,24.8741,-0.1528,45.9
37.1834,24.8589,-0.1619,46.0
37.2821,24.8428,-0.171,46.1
37.3806,24.8258,-0.1802,46.2
37.479,24.8079,-0.1894,46.3
37.5772,24.789,-0.1986,46.4
37.6753,24.7693,-0.208,46.5
37.7731,24.7486,-0.2173,46.6
37.8707,24.7271,-0.2266,46.7
37.9682,24.7046,-0.236,46.8
38.0654,24.6812,-0.2455,46.9
38.1624,24.6569,-0.2549,47.0
38.2592,24.6317,-0.2644,47.1
38.3557,24.6056,-0.2738,47.2
38.452,24.5785,-0.2833,47.3
38.548,24.5506,-0.2929,47.4
38.6437,24.5217,-0.3025,47.5
38.7392,24.4919,-0.312,47.6
38.8344,24.4612,-0.3215,47.7
38.9292,24.4296,-0.3311,47.8
39.0238,24.3971,-0.3407,47.9
39.1181,24.3637,-0.3503,48.0
39.212,24.3294,-0.3599,48.1
39.3056,24.2942,-0.3694,48.2
39.3988,24.2581,-0.379,48.3
39.4917,24.2211,-0.3886,48.4
39.5843,24.1832,-0.3982,48.5
39.6765,24.1444,-0.4077,48.6
39.7683,24.1047,-0.4172,48.7
39.8597,24.0642,-0.4267,48.8
39.9507,24.0228,-0.4362,48.9
40.0414,23.9806,-0.4457,49.0
40.1316,23.9375,-0.4551,49.1
40.2214,23.8935,-0.4645,49.2
40.3108,23.8487,-0.4739,49.3
40.3998,23.8031,-0.4833,49.4
40.4883,23.7566,-0.4927,49.5
40.5764,23.7093,-0.5019,49.6
40.6641,23.6612,-0.5112,49.7
40.7513,23.6123,-0.5204,49.8
40.8381,23.5626,-0.5296,49.9
40.9244,23.512,-0.5387,50.0
41.0102,23.4607,-0.5478,50.1
41.0956,23.4087,-0.5568,50.2
41.1805,23.3558,-0.5659,50.3
41.2649,23.3022,-0.5748,50.4
41.3488,23.2478,-0.5837,50.5
41.4323,23.1927,-0.5925,50.6
41.5152,23.1369,-0.6014,50.7
41.5977,23.0803,-0.6101,50.8
41.6796,23.023,-0.6188,50.9
41.7611,22.965,-0.6274,51.0
41.842,22.9063,-0.636,51.1
41.9225,22.8469,-0.6445,51.2
42.0024,22.7868,-0.653,51.3
42.0818,22.726,-0.6614,51.4
42.1608,22.6646,-0.6697,51.5
42.2392,22.6025,-0.678,51.6
42.317,22.5398,-0.6862,51.7
42.3944,22.4765,-0.6943,51.8
42.4713,22.4125,-0.7025,51.9
42.5476,22.3479,-0.7105,52.0
42.6234,22.2826,-0.7184,52.1
42.6987,22.2168,-0.7263,52.2
42.7734,22.1504,-0.7341,52.3
42.8477,22.0834,-0.7419,52.4
42.9214,22.0159,-0.7496,52.5
42.9946,21.9477,-0.7572,52.6
43.0673,21.879,-0.7648,52.7
43.1394,21.8098,-0.7723,52.8
43.211,21.74,-0.7797,52.9
43.2822,21.6697,-0.7871,53.0
43.3528,21.5989,-0.7944,53.1
43.4228,21.5275,-0.8016,53.2
43.4924,21.4557,-0.8088,53.3
43.5614,21.3833,-0.8159,53.4
43.6299,21.3105,-0.8229,53.5
43.6979,21.2372,-0.8299,53.6
43.7654,21.1634,-0.8368,53.7
43.8324,21.0892,-0.8437,53.8
43.8989,21.0144,-0.8504,53.9
43.9649,20.9393,-0.8571,54.0
44.0303,20.8637,-0.8638,54.1
44.0953,20.7877,-0.8704,54.2
44.1597,20.7112,-0.8769,54.3
44.2237,20.6343,-0.8834,54.4
44.2871,20.557,-0.8897,54.5
44.3501,20.4793,-0.8961,54.6
44.4126,20.4013,-0.9024,54.7
44.4745,20.3228,-0.9086,54.8
44.536,20.2439,-0.9148,54.9
44.597,20.1647,-0.9209,55.0
44.6575,20.0851,-0.9269,55.1
44.7176,20.0051,-0.9329,55.2
44.7771,19.9248,-0.9388,55.3
44.8362,19.8441,-0.9447,55.4
44.8948,19.763,-0.9505,55.5
44.9529,19.6817,-0.9562,55.6
45.0106,19.6,-0.9619,55.7
45.0678,19.5179,-0.9676,55.8
45.1245,19.4356,-0.9732,55.9
45.1808,19.3529,-0.9787,56.0
45.2366,19.2699,-0.9842,56.1
45.292,19.1867,-0.9896,56.2
45.3469,19.1031,-0.9949,56.3
45.4013,19.0192,-1.0003,56.4
45.4553,18.9351,-1.0056,56.5
45.5089,18.8506,-1.0108,56.6
45.562,18.7659,-1.0159,56.7
45.6147,18.6809,-1.0211,56.8
45.6669,18.5956,-1.0261,56.9
45.7187,18.5101,-1.0312,57.0
45.7701,18.4243,-1.0361,57.1
45.8211,18.3383,-1.0411,57.2
45.8716,18.252,-1.046,57.3
45.9217,18.1654,-1.0508,57.4
45.9714,18.0786,-1.0556,57.5
46.0207,17.9916,-1.0603,57.6
46.0695,17.9044,-1.0651,57.7
46.118,17.8169,-1.0697,57.8
46.166,17.7292,-1.0743,57.9
46.2136,17.6412,-1.0789,58.0
46.2609,17.5531,-1.0835,58.1
46.3077,17.4647,-1.0879,58.2
46.3541,17.3762,-1.0924,58.3
46.4002,17.2874,-1.0968,58.4
46.4458,17.1984,-1.1012,58.5
46.4911,17.1093,-1.1056,58.6
46.5359,17.0199,-1.1099,58.7
46.5804,16.9303,-1.1141,58.8
46.6245,16.8406,-1.1183,58.9
46.6682,16.7506,-1.1225,59.0
46.7116,16.6605,-1.1267,59.1
46.7545,16.5702,-1.1308,59.2
46.7971,16.4797,-1.1349,59.3
46.8394,16.3891,-1.1389,59.4
46.8812,16.2983,-1.1429,59.5
46.9227,16.2073,-1.1469,59.6
46.9638,16.1161,-1.1508,59.7
47.0046,16.0248,-1.1548,59.8
47.045,15.9334,-1.1586,59.9
47.0851,15.8417,-1.1625,60.0
47.1248,15.75,-1.1663,60.1
47.1641,15.658,-1.1701,60.2
47.2032,15.5659,-1.1739,60.3
47.2418,15.4737,-1.1776,60.4
47.2801,15.3814,-1.1812,60.5
47.3181,15.2888,-1.1849,60.6
47.3557,15.1962,-1.1886,60.7
47.393,15.1034,-1.1922,60.8
47.43,15.0105,-1.1957,60.9
47.4666,14.9175,-1.1993,61.0
47.5029,14.8243,-1.2028,61.1
47.5389,14.731,-1.2063,61.2
47.5746,14.6375,-1.2098,61.3
47.6099,14.544,-1.2132,61.4
47.6449,14.4503,-1.2166,61.5
47.6796,14.3565,-1.2201,61.6
47.7139,14.2626,-1.2234,61.7
47.748,14.1686,-1.2267,61.8
47.7817,14.0744,-1.2301,61.9
47.8151,13.9802,-1.2334,62.0
47.8482,13.8858,-1.2367,62.1
47.881,13.7914,-1.2399,62.2
47.9135,13.6968,-1.2431,62.3
47.9457,13.6021,-1.2464,62.4
47.9776,13.5073,-1.2495,62.5
48.0091,13.4124,-1.2527,62.6
48.0404,13.3174,-1.2558,62.7
48.0714,13.2224,-1.2589,62.8
48.1021,13.1272,-1.2621,62.9
48.1325,13.0319,-1.2651,63.0
48.1626,12.9366,-1.2682,63.1
48.1924,12.8411,-1.2712,63.2
48.2219,12.7456,-1.2742,63.3
48.2511,12.6499,-1.2772,63.4
48.28,12.5542,-1.2802,63.5
48.3087,12.4584,-1.2831,63.6
48.3371,12.3625,-1.2861,63.7
48.3652,12.2665,-1.289,63.8
48.393,12.1705,-1.2919,63.9
48.4205,12.0743,-1.2948,64.0
48.4477,11.9781,-1.2977,64.1
48.4747,11.8818,-1.3005,64.2
48.5014,11.7855,-1.3034,64.3
48.5278,11.689,-1.3062,64.4
48.554,11.5925,-1.309,64.5
48.5799,11.4959,-1.3117,64.6
48.6055,11.3992,-1.3145,64.7
48.6308,11.3025,-1.3173,64.8
48.6559,11.2057,-1.32,64.9
48.6807,11.1088,-1.3227,65.0
48.7053,11.0119,-1.3254,65.1
48.7296,10.9149,-1.3281,65.2
48.7536,10.8178,-1.3308,65.3
48.7774,10.7207,-1.3335,65.4
48.8009,10.6235,-1.3361,65.5
48.8241,10.5262,-1.3388,65.6
48.8471,10.4289,-1.3414,65.7
48.8699,10.3315,-1.344,65.8
48.8924,10.2341,-1.3466,65.9
48.9146,10.1366,-1.3491,66.0
48.9366,10.039,-1.3517,66.1
48.9583,9.9414,-1.3543,66.2
48.9798,9.8438,-1.3568,66.3
49.001,9.746,-1.3594,66.4
49.022,9.6483,-1.3618,66.5
49.0428,9.5504,-1.3644,66.6
49.0633,9.4526,-1.3669,66.7
49.0835,9.3546,-1.3693,66.8
49.1035,9.2567,-1.3718,66.9
49.1233,9.1586,-1.3743,67.0
49.1428,9.0606,-1.3767,67.1
49.1621,8.9624,-1.3792,67.2
49.1812,8.8643,-1.3816,67.3
49.2,8.7661,-1.384,67.4
49.2185,8.6678,-1.3864,67.5
49.2369,8.5695,-1.3888,67.6
49.255,8.4711,-1.3912,67.7
49.2728,8.3727,-1.3936,67.8
49.2905,8.2743,-1.3959,67.9
49.3079,8.1758,-1.3983,68.0
49.325,8.0773,-1.4006,68.1
49.342,7.9788,-1.403,68.2
49.3587,7.8802,-1.4053,68.3
49.3751,7.7815,-1.4076,68.4
49.3914,7.6829,-1.4099,68.5
49.4074,7.5842,-1.4122,68.6
49.4232,7.4854,-1.4145,68.7
49.4388,7.3866,-1.4168,68.8
49.4541,7.2878,-1.4191,68.9
49.4692,7.189,-1.4213,69.0
49.4841,7.0901,-1.4236,69.1
49.4988,6.9912,-1.4259,69.2
49.5132,6.8922,-1.4281,69.3
49.5274,6.7932,-1.4303,69.4
49.5414,6.6942,-1.4326,69.5
49.5552,6.5952,-1.4348,69.6
49.5688,6.4961,-1.437,69.7
49.5821,6.397,-1.4392,69.8
49.5952,6.2978,-1.4414,69.9
49.6081,6.1987,-1.4436,70.0
49.6208,6.0995,-1.4458,70.1
49.6333,6.0003,-1.448,70.2
49.6455,5.901,-1.4502,70.3
49.6576,5.8018,-1.4523,70.4
49.6694,5.7025,-1.4545,70.5
49.681,5.6031,-1.4567,70.6
49.6924,5.5038,-1.4588,70.7
49.7035,5.4044,-1.461,70.8
49.7145,5.305,-1.4631,70.9
49.7253,5.2056,-1.4652,71.0
49.7358,5.1061,-1.4674,71.1
49.7461,5.0067,-1.4695,71.2
49.7562,4.9072,-1.4716,71.3
49.7661,4.8077,-1.4737,71.4
49.7758,4.7082,-1.4759,71.5
49.7853,4.6086,-1.4779,71.6
49.7946,4.509,-1.48,71.7
49.8036,4.4094,-1.4821,71.8
49.8125,4.3098,-1.4842,71.9
49.8211,4.2102,-1.4863,72.0
49.8296,4.1106,-1.4884,72.1
49.8378,4.0109,-1.4905,72.2
49.8458,3.9112,-1.4925,72.3
49.8537,3.8115,-1.4946,72.4
49.8613,3.7118,-1.4967,72.5
49.8687,3.6121,-1.4988,72.6
49.8759,3.5124,-1.5008,72.7
49.8829,3.4126,-1.5029,72.8
49.8896,3.3128,-1.5049,72.9
49.8962,3.2131,-1.507,73.0
